Voltage,ROAMES_Conductor_Id,ROAMES_Span_Id,ROAMES_Bay_Id,Last_Capture_Timestamp,name,altitudeMode,WKT
415V,74095823,35506614,7498383,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74095823,absolute,"LINESTRING Z (115.50448311252917 -28.538669145509303 300.792851269015, 115.50452261919465 -28.538669203785677 300.739601692271, 115.50456212586072 -28.53866926205056 300.711884875622, 115.50460163252741 -28.53866932030384 300.709699610195, 115.50464113919467 -28.538669378545723 300.733045800679, 115.50468064586256 -28.538669436776118 300.781924465321, 115.50472015253101 -28.53866949499501 300.856337735972, 115.50475965920009 -28.538669553202386 300.956288858177, 115.50479916586973 -28.538669611398284 301.081782191321, 115.50483867253998 -28.538669669582596 301.232823208812, 115.50487817921082 -28.53866972775549 301.409418498327)"
415V,74095950,35506664,7564595,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74095950,absolute,"LINESTRING Z (115.50527751525509 -28.53865630537658 300.179708196691, 115.50531155348428 -28.53865654923537 299.936836105913, 115.50534559171399 -28.538656793085718 299.727469742221, 115.50537962994431 -28.538657036927535 299.551588018592, 115.50541366817517 -28.538657280760823 299.409173220519, 115.50544770640661 -28.53865752458549 299.300211004228, 115.50548174463862 -28.538657768401713 299.22469039523, 115.50551578287119 -28.538658012209417 299.182603787218, 115.50554982110434 -28.538658256008585 299.173946941301, 115.50558385933802 -28.538658499799133 299.198718985576, 115.5056178975723 -28.538658743581248 299.256922415042)"
415V,74095951,35506664,7564595,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74095951,absolute,"LINESTRING Z (115.50527758073653 -28.53866279168064 300.132700187234, 115.50531160291136 -28.53866315054497 299.923849602275, 115.50534562508683 -28.53866350940069 299.740636857387, 115.50537964726294 -28.538663868247898 299.583051126754, 115.50541366943969 -28.538664227086574 299.451083098832, 115.50544769161706 -28.538664585916738 299.344724975791, 115.50548171379508 -28.53866494473838 299.263970473062, 115.50551573597376 -28.5386653035515 299.20881481896, 115.50554975815307 -28.538665662356195 299.179254754406, 115.50558378033298 -28.53866602115229 299.175288532732, 115.50561780251357 -28.53866637993985 299.196915919579)"
415V,74095952,35506664,7564595,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74095952,absolute,"LINESTRING Z (115.5052774606496 -28.538650894854957 300.159293579442, 115.50531150916699 -28.53865113121735 299.949202208789, 115.50534555768493 -28.538651367571116 299.765738991637, 115.50537960620343 -28.538651603916446 299.608892251115, 115.50541365472252 -28.538651840253138 299.478652004406, 115.50544770324214 -28.53865207658139 299.375009962118, 115.50548175176233 -28.53865231290102 299.297959527752, 115.50551580028309 -28.5386525492122 299.247495797283, 115.50554984880439 -28.538652785514753 299.223615558849, 115.50558389732629 -28.538653021808862 299.226317292546, 115.50561794584871 -28.538653258094442 299.255601170331)"
415V,74095953,35506664,7564595,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74095953,absolute,"LINESTRING Z (115.50527764171886 -28.53866882600858 300.116961325021, 115.50531165771359 -28.53866902970715 299.878538167397, 115.50534567370886 -28.538669233397197 299.670854975633, 115.50537968970467 -28.538669437078823 299.493894117536, 115.50541370570102 -28.538669640751834 299.347640569224, 115.5054477216979 -28.538669844416326 299.23208191385, 115.50548173769532 -28.538670048072294 299.147208340547, 115.50551575369329 -28.53867025171975 299.093012643591, 115.50554976969178 -28.53867045535877 299.0694902218, 115.50558378569085 -28.538670658989183 299.07663907813, 115.50561780169042 -28.538670862611074 299.114459819517)"
415V,74095965,35506670,7498388,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74095965,absolute,"LINESTRING Z (115.50594530128544 -28.538651285543658 297.106023911037, 115.50598010476996 -28.538651529572356 296.971433448786, 115.50601490825508 -28.538651773592214 296.874205586113, 115.50604971174076 -28.53865201760307 296.814328635609, 115.50608451522703 -28.538652261605094 296.791795399679, 115.50611931871391 -28.53865250559812 296.806603169686, 115.50615412220137 -28.538652749582223 296.858753725619, 115.50618892568943 -28.538652993557495 296.948253336306, 115.50622372917806 -28.538653237523768 297.075112760174, 115.50625853266729 -28.53865348148121 297.239347246537, 115.50629333615709 -28.538653725429636 297.440976537429)"
415V,74095966,35506670,7498388,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74095966,absolute,"LINESTRING Z (115.50594667481637 -28.538656870161834 297.104419303477, 115.50598134624443 -28.538657065301976 297.015436514584, 115.50601601767303 -28.538657260433183 296.953576182098, 115.50605068910218 -28.53865745555562 296.918834354852, 115.50608536053188 -28.5386576506692 296.911208813799, 115.50612003196213 -28.538657845773933 296.930699071878, 115.50615470339292 -28.538658040869812 296.97730637398, 115.50618937482429 -28.538658235956845 297.051033697025, 115.50622404625621 -28.53865843103503 297.151885750157, 115.50625871768865 -28.53865862610436 297.27986897504, 115.50629338912167 -28.53865882116484 297.434991546274)"
415V,74095967,35506670,7498388,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74095967,absolute,"LINESTRING Z (115.50594860508389 -28.5386647166795 297.125719809462, 115.5059830906937 -28.538664821356946 297.026101888039, 115.50601757630398 -28.53866492602573 296.954494551082, 115.50605206191477 -28.538665030685657 296.9108928683, 115.50608654752604 -28.538665135336924 296.895293837643, 115.50612103313779 -28.53866523997933 296.907696385091, 115.50615551875002 -28.53866534461299 296.94810136458, 115.50619000436276 -28.53866544923797 297.016511558063, 115.50622448997598 -28.53866555385411 297.112931675701, 115.50625897558969 -28.53866565846157 297.237368356185, 115.50629346120388 -28.538665763060184 297.389830167196)"
415V,74095968,35506670,7498388,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74095968,absolute,"LINESTRING Z (115.50594980740055 -28.538669606350897 297.282746884214, 115.50598417808052 -28.53866973247518 297.140118963353, 115.50601854876099 -28.538669858590858 297.029851037381, 115.50605291944196 -28.53866998469774 296.951932913369, 115.50608729012345 -28.538670110795923 296.906357388733, 115.50612166080539 -28.538670236885498 296.893120250569, 115.50615603148788 -28.53867036296628 296.912220275265, 115.50619040217084 -28.538670489038356 296.963659228386, 115.50622477285432 -28.538670615101832 297.047441864839, 115.50625914353829 -28.538670741156512 297.163575929309, 115.50629351422276 -28.53867086720259 297.312072156981)"
415V,74096055,35506711,7564596,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74096055,absolute,"LINESTRING Z (115.50527746277248 -28.538651105244426 300.15441438048, 115.50523744725663 -28.538651172614852 300.159129320936, 115.50519743174132 -28.538651239973493 300.190546257927, 115.50515741622652 -28.53865130732032 300.248666652336, 115.50511740071222 -28.53865137465536 300.333493206751, 115.50507738519845 -28.538651441978608 300.445029865589, 115.5050373696852 -28.53865150929004 300.583281815284, 115.50499735417245 -28.53865157658969 300.748255484527, 115.50495733866022 -28.538651643877525 300.939958544561, 115.50491732314852 -28.53865171115357 301.158399909542, 115.5048773076373 -28.538651778417822 301.403589736953)"
