Client_Pole_ID,ROAMES_Pole_ID,Last_Capture_Timestamp,name,altitudeMode,WKT
S481464,,Sep  3 2021  1:28AM,ROAMES Pole Id: 18598640,absolute,"LINESTRING Z (115.42352562857474 -28.286782023193027 225.28, 115.42352569842285 -28.286780742446016 235.278)"
S481443,,Sep  3 2021  1:28AM,ROAMES Pole Id: 18598643,absolute,"LINESTRING Z (115.4345385528287 -28.29839478446831 213.5, 115.43453838785918 -28.298394908927087 223.745)"
S481448,,Sep  3 2021  1:28AM,ROAMES Pole Id: 18598647,absolute,"LINESTRING Z (115.4299492025735 -28.29355317522851 224.61, 115.42994857990458 -28.293554612073123 234.821)"
S481422,,Sep  3 2021  1:28AM,ROAMES Pole Id: 18598650,absolute,"LINESTRING Z (115.44882563561563 -28.313456303060278 219.6, 115.44882615702346 -28.313458321573254 229.725)"
S481426,,Sep  3 2021  1:28AM,ROAMES Pole Id: 18598656,absolute,"LINESTRING Z (115.44139304754373 -28.305617215885615 213.22, 115.44139009564927 -28.305619646015508 223.389)"
S481425,,Sep  3 2021  1:28AM,ROAMES Pole Id: 18598738,absolute,"LINESTRING Z (115.44322048608416 -28.30755033372432 214.42, 115.44322097128415 -28.307550628059897 224.253)"
S481466,,Sep  3 2021  1:28AM,ROAMES Pole Id: 18605036,absolute,"LINESTRING Z (115.4200930791106 -28.283161631189582 225.36, 115.42009292833964 -28.283161485045007 235.557)"
S481465,,Sep  3 2021  1:28AM,ROAMES Pole Id: 18605063,absolute,"LINESTRING Z (115.42181998976719 -28.284981838183324 224.57, 115.42181941053686 -28.284982400065683 233.707)"
S481480,,Sep  3 2021  1:29AM,ROAMES Pole Id: 18605020,absolute,"LINESTRING Z (115.4168978552928 -28.278358869880375 228.39, 115.41690007471945 -28.2783611428354 239.24)"
S8075633,,Sep  3 2021  1:29AM,ROAMES Pole Id: 18605035,absolute,"LINESTRING Z (115.41838866088118 -28.281366591153752 226.61, 115.41838962278699 -28.28136634959301 236.783)"
S481483,,Sep  3 2021  1:29AM,ROAMES Pole Id: 18605039,absolute,"LINESTRING Z (115.41689730357142 -28.275470044837363 228.08, 115.41689754259272 -28.275470426658604 238.258)"
S481482,,Sep  3 2021  1:29AM,ROAMES Pole Id: 18605050,absolute,"LINESTRING Z (115.4168947515595 -28.277026082269266 228.08, 115.41689905720031 -28.277027224202108 238.227)"
S481373,,Sep  3 2021  1:29AM,ROAMES Pole Id: 18605093,absolute,"LINESTRING Z (115.41690067419188 -28.279803221206127 228.25, 115.41690174787523 -28.279805760656252 239.26)"
S481518,,Sep  3 2021  1:32AM,ROAMES Pole Id: 18605021,absolute,"LINESTRING Z (115.4145499129472 -28.278320696243203 231.16, 115.41454891590348 -28.27832055831909 241.309)"
S481519,,Sep  3 2021  1:32AM,ROAMES Pole Id: 18605029,absolute,"LINESTRING Z (115.41214568986614 -28.278287242956658 234.83, 115.41214685332046 -28.278286471307208 245.678)"
S2143023,,Sep  3 2021  1:33AM,ROAMES Pole Id: 18598579,absolute,"LINESTRING Z (115.42932158499376 -28.247681832261264 229.41, 115.42932081267159 -28.247683068847593 239.009)"
S481565,,Sep  3 2021  1:33AM,ROAMES Pole Id: 18598580,absolute,"LINESTRING Z (115.42997833933126 -28.246689750318883 229.64, 115.42997833722825 -28.246690589627946 239.551)"
S481550,,Sep  3 2021  1:33AM,ROAMES Pole Id: 18598606,absolute,"LINESTRING Z (115.42393143606554 -28.255808984727004 228.02, 115.42393156045006 -28.255809536690435 238.225)"
S481553,,Sep  3 2021  1:33AM,ROAMES Pole Id: 18598607,absolute,"LINESTRING Z (115.42529743443771 -28.25375066396266 228.33, 115.42529837945249 -28.25374877958768 238.854)"
